step,sim_hour,sim_minute,baseline_kwh_cum,agent_kwh_cum,savings_kwh_cum
1,0,0,0.11875,0.0,0.11875
2,0,15,0.2375,0.025,0.2125
3,0,30,0.35625,0.05,0.30625
4,0,45,0.475,0.075,0.4
5,1,0,0.59375,0.1,0.49375
6,1,15,0.7125,0.125,0.5875
7,1,30,0.83125,0.15,0.68125
8,1,45,0.95,0.175,0.775
9,2,0,1.06875,0.2,0.86875
10,2,15,1.1875,0.225,0.9625
11,2,30,1.30625,0.25,1.05625
12,2,45,1.425,0.275,1.15
13,3,0,1.54375,0.3,1.24375
14,3,15,1.6625,0.325,1.3375
15,3,30,1.78125,0.35,1.43125
16,3,45,1.9,0.375,1.525
17,4,0,2.01875,0.4,1.61875
18,4,15,2.1375,0.425,1.7125
19,4,30,2.25625,0.45,1.80625
20,4,45,2.375,0.475,1.9
21,5,0,2.49375,0.5,1.99375
22,5,15,2.6125,0.525,2.0875
23,5,30,2.73125,0.55,2.18125
24,5,45,2.85,0.575,2.275
25,6,0,2.96875,0.6,2.36875
26,6,15,3.0875,0.625,2.4625
27,6,30,3.20625,0.65,2.55625
28,6,45,3.325,0.675,2.65
29,7,0,3.522285,0.7,2.822285
30,7,15,3.728417,0.804,2.924417
31,7,30,3.944689,0.916,3.028689
32,7,45,4.181633,1.037,3.144633
33,8,0,6.614334,1.166,5.448334
34,8,15,9.108537,1.835,7.273537
35,8,30,11.643108,3.153,8.490108
36,8,45,14.210484,4.499,9.711484
37,9,0,18.647649,5.874,12.773649
38,9,15,23.117608,9.053,14.064608
39,9,30,27.598714,12.208,15.390714
40,9,45,32.112345,15.369,16.743345
41,10,0,36.678639,18.536,18.142639
42,10,15,41.209067,21.658,19.551067
43,10,30,45.696642,24.742,20.954642
44,10,45,50.133699,27.8,22.333699
45,11,0,54.380052,30.824,23.556052
46,11,15,58.60191,33.753,24.84891
47,11,30,62.809258,36.676,26.133258
48,11,45,67.015159,39.594,27.421159
49,12,0,70.649449,42.505,28.144449
50,12,15,74.289801,45.148,29.141801
51,12,30,77.945503,47.796,30.149503
52,12,45,81.615127,50.459,31.156127
53,13,0,85.803343,53.134,32.669343
54,13,15,89.986014,56.112,33.874014
55,13,30,94.164893,59.084,35.080893
56,13,45,98.344841,62.052,36.292841
57,14,0,102.694531,65.021,37.673531
58,14,15,107.06866,67.961,39.10766
59,14,30,111.486561,70.912,40.574561
60,14,45,115.940856,73.869,42.071856
61,15,0,120.307601,76.836,43.471601
62,15,15,124.712559,79.691,45.021559
63,15,30,129.150081,82.574,46.576081
64,15,45,133.616632,85.49,48.126632
65,16,0,137.830497,88.435,49.395497
66,16,15,142.046466,91.13,50.916466
67,16,30,146.255964,93.828,52.427964
68,16,45,150.455893,96.521,53.934893
69,17,0,152.955893,99.206,53.749893
70,17,15,155.455893,100.425,55.030893
71,17,30,157.955893,101.644,56.311893
72,17,45,160.455893,102.863,57.592893
73,18,0,161.955893,104.082,57.873893
74,18,15,163.455893,105.051,58.404893
75,18,30,164.955893,106.02,58.935893
76,18,45,166.455893,106.989,59.466893
77,19,0,167.205893,107.958,59.247893
78,19,15,167.955893,108.927,59.028893
79,19,30,168.705893,109.658,59.047893
80,19,45,169.455893,110.39,59.065893
81,20,0,169.855893,111.121,58.734893
82,20,15,170.255893,111.502,58.753893
83,20,30,170.655893,111.884,58.771893
84,20,45,171.055893,112.265,58.790893
85,21,0,171.174643,112.647,58.527643
86,21,15,171.293393,113.028,58.265393
87,21,30,171.412143,113.409,58.003143
88,21,45,171.530893,113.791,57.739893
89,22,0,171.649643,114.172,57.477643
90,22,15,171.768393,114.197,57.571393
91,22,30,171.887143,114.222,57.665143
92,22,45,172.005893,114.247,57.758893
93,23,0,172.124643,114.272,57.852643
94,23,15,172.243393,114.297,57.946393
95,23,30,172.362143,114.322,58.040143
96,23,45,172.480893,114.347,58.133893
